3/1 19/2 26/2 9/2 5/2 24/2 20/2 43/2 47/2 48/2 36/2 32/2 16/2 59/2 30/2 1/2
34/1 241/0 100/2 229/2 74/3 90/1 108/3 120/1 186/3 201/1 247/3 250/1 154/2 246/1 180/0 57/3
46/1 233/2 208/3 157/3 147/3 161/1 140/0 216/0 232/2 213/3 149/0 194/0 117/0 255/3 122/0 58/3
42/1 240/2 197/0 85/3 75/3 89/1 61/3 71/1 227/0 238/0 158/2 123/0 113/2 220/1 67/3 49/3
10/1 175/3 166/1 248/0 83/0 245/0 88/0 203/0 168/0 81/0 153/1 116/2 224/0 119/0 156/2 55/3
45/1 251/1 200/1 217/3 165/3 172/1 94/2 198/2 68/3 62/1 183/3 125/0 134/0 114/2 226/1 18/3
12/1 179/0 211/2 236/3 189/2 210/0 93/3 76/1 72/3 78/1 205/2 118/2 103/2 111/1 101/3 6/3
41/1 187/0 80/0 96/0 191/3 145/0 170/3 142/0 167/1 212/3 218/1 135/3 128/1 77/3 63/1 15/3
29/1 66/0 95/2 69/2 155/1 137/2 152/1 139/2 106/0 209/3 214/1 222/1 160/3 151/1 129/3 51/3
31/1 92/2 86/3 64/3 79/1 199/3 185/1 176/2 115/2 225/1 87/3 98/1 130/3 104/0 109/0 39/3
21/1 97/3 84/1 65/0 215/2 231/3 223/0 184/3 188/1 192/1 110/3 126/1 254/3 136/2 121/2 54/3
37/1 82/2 235/2 73/2 228/1 242/1 193/0 207/2 219/1 230/1 162/0 124/3 127/1 202/1 133/0 35/3
14/1 138/2 171/1 239/0 256/2 221/0 206/2 195/3 177/3 178/1 143/2 131/3 107/1 234/1 102/2 28/3
40/1 150/0 181/3 141/0 144/3 146/1 164/1 237/0 244/0 253/0 112/3 132/1 252/0 249/0 204/0 56/3
25/1 163/2 99/0 159/2 174/2 243/3 190/0 169/0 182/3 91/3 70/1 148/3 105/0 173/0 196/2 23/3
2/0 44/0 27/0 33/0 22/0 11/0 17/0 52/0 7/0 13/0 53/0 38/0 50/0 8/0 60/0 4/3
