2/1 25/2 40/2 14/2 37/2 21/2 31/2 29/2 41/2 12/2 45/2 10/2 42/2 46/2 34/2 3/2
44/1 163/3 150/1 138/3 82/3 97/0 92/3 66/1 187/1 179/1 251/2 175/0 240/3 233/3 241/1 19/3
27/1 99/1 181/0 171/2 235/3 84/2 86/0 95/3 80/1 211/3 200/2 166/2 197/1 208/0 100/3 26/3
33/1 159/3 141/1 239/1 73/3 65/1 64/0 69/3 96/1 236/0 217/0 248/1 85/0 157/0 229/3 9/3
22/1 174/3 144/0 256/3 228/2 215/3 79/2 155/2 191/0 189/3 165/0 83/1 75/0 147/0 74/0 5/3
11/1 243/0 146/2 221/1 242/2 231/0 199/0 137/3 145/1 210/1 172/2 245/1 89/2 161/2 90/2 24/3
17/1 190/1 164/2 206/3 193/1 223/1 185/2 152/2 170/0 93/0 94/3 88/1 61/0 140/1 108/0 20/3
52/1 169/1 237/1 195/0 207/3 184/0 176/3 139/3 142/1 76/2 198/3 203/1 71/2 216/1 120/2 43/3
7/1 182/0 244/1 177/0 219/2 188/2 115/3 106/1 167/2 72/0 68/0 168/1 227/1 232/3 186/0 47/3
13/1 91/0 253/1 178/2 230/2 192/2 225/2 209/0 212/0 78/2 62/2 81/1 238/1 213/0 201/2 48/3
53/1 70/2 112/0 143/3 162/1 110/0 87/0 214/2 218/2 205/3 183/0 153/2 158/3 149/1 247/0 36/3
38/1 148/0 132/2 131/0 124/0 126/2 98/2 222/2 135/0 118/3 125/1 116/3 123/1 194/1 250/2 32/3
50/1 105/1 252/1 107/2 127/2 254/0 130/0 160/0 128/2 103/3 134/1 224/1 113/3 117/1 154/3 16/3
8/1 173/1 249/1 234/2 202/2 136/3 104/1 151/2 77/0 111/2 114/3 119/1 220/2 255/0 246/2 59/3
60/1 196/3 204/1 102/3 133/1 121/3 109/1 129/0 63/2 101/0 226/2 156/3 67/0 122/1 180/1 30/3
4/0 23/0 56/0 28/0 35/0 54/0 39/0 51/0 15/0 6/0 18/0 55/0 49/0 58/0 57/0 1/3
